Post_number,Title,Main_content,Youtube_link,Comments,Category,Classification
3046060,女子遭偷拍求刪相 男路人：難怪女人會被打,"廣東省廣州市一名女子近日在地鐵車廂遭陌生人偷拍，卻被反諷「拍你是看得起你」、「怪不得你這樣的女人被打」，引起網民關注。

內媒上周六（18日）報道，女事主上周四（16日）在廣州地鐵3號線車廂發現遭陌生男子偷拍，遂上前斥責並要求對方刪除照片。另一名男乘客煽風點火地說：「人家拍你是看得起你，覺得你漂亮，怪不得你這樣的女人被打。」男子言論疑指近來轟動全國的唐山打人案，女事主下車後向警方報案，警方表示已處理事件。

男乘客的做法惹來網民不滿，有人留言「判刑也是看得起你」、「那個路人不會說話可以不說，沒人當他啞的」，希望警方盡快把犯罪嫌疑人捉拿歸案。



女事主質問偷拍者（圖）。",None,"中国人嘅事關人咩事

拉, 廣東省廣州市一名女子近日在地鐵車廂遭陌生人偷拍，卻被反諷「拍你是看得起你」、「怪不得你這樣的女人被打」，引起網民關注。

內媒上周六（18日）報道，女事主上周四（16日）在廣州地鐵3號線車廂發現遭陌生男子偷拍，遂上前斥責並要求對方刪除照片。另一名男乘客煽風點火地說：「人家拍你是看得起你，覺得你漂亮，怪不得你這樣的女人被打。」男子言論疑指近來轟動全國的唐山打人案，女事主下車後向警方報案，警方表示已處理事件。

男乘客的做法惹來網民不滿，有人留言「判刑也是看得起你」、「那個路人不會說話可以不說，沒人當他啞的」，希望警方盡快把犯罪嫌疑人捉拿歸案。



女事主質問偷拍者（圖）。",None,None
3046061,護士移民澳洲定英國好？,"背景：自己係RN
           另一半唔係做醫護，佢想去讀書
           兩個都就快30

去澳洲可以係香港offshore搵定醫院，去到唔驚無野做，人工又高d。但擔心移民政策改黎改去，最後都係失敗收場。

去英國就BNO 5+1年，叫做有個保障可以成功移民，但係nursing 牌唔可以transfer 過去。擔心去到搵唔到工無野做

另外大家覺得讀書去澳洲定英國好？

澳洲👍🏻

英國👎🏻",None,"有無成功走左既醫護可以分享下而家生活係點, 澳洲三寶
, 美國真係無諗過
由一開始都係諗澳/加/英
一黎對美國呢個地方無興趣
二黎好似好難去, 其實我都偏向去澳洲
最多去d 山卡啦地方做，可能易d 收到190invitation

人工真係無地方好似香港咁高
但勝在外國culture 無香港咁多閪人，又無咁chur
而且移到民又可以做返自己識既野已經好好, 護士係專才，點解唔去美國？人工又極高。, 護士係專才所以唔難去，好似仲可以申請專才簽證好快攞到綠卡，不過你冇興趣就算啦, 係香港考定個英文試先
去到再考OSCE 可以慳d 時間
不過同澳洲比，都係澳洲簡單快捷

如果唔淨邁返工，計埋生活環境社會因素等等，大家有咩見解, 其實係架，可以直接用香港牌transfer去澳洲搵工

但係有d擔心最後拎唔到PR 要返香港, 拎到482就冇問題啦, 我見做護嘅都係去澳洲, 我都怕適應唔到
原來諗住儲多幾年錢，而家都係襯捉緊青春尾巴快d 走算, 邊有亞洲人咁hierarchy

btw 乜咁高人工架咩，聽聞rn 扣完tax 都有三皮架wor, 又黎？
醉酒佬係聯邦立法唔俾公眾場合飲酒，已經絕左種
依家D鬼妹鬼婆好fit
烏蠅其實你住大城市，高層apartment 好少見

澳洲最仆街嘅唔係歧視，而係大家chill 住返工放工，久而久之唔夠自律會不思進取

護士可以接觸一啲邊緣啲，低下啲階層，咁就唔關你係唔係新移民。係護士工作本質要硬食, 澳洲移民政策改左咁多次 好似從來冇影響過醫護移民 即使行舊路考試轉牌off shore搵工 然後成堆醫院爭住請 但扣完稅人工無咁高就真, 澳洲做個文員仔或者超市執貨都同 RN 差唔多人工

唔好講藍領，直頭是但都屌打 RN 一倍以上

仲要個個覺得 you are well paid for it , 背景：自己係RN
           另一半唔係做醫護，佢想去讀書
           兩個都就快30

去澳洲可以係香港offshore搵定醫院，去到唔驚無野做，人工又高d。但擔心移民政策改黎改去，最後都係失敗收場。

去英國就BNO 5+1年，叫做有個保障可以成功移民，但係nursing 牌唔可以transfer 過去。擔心去到搵唔到工無野做

另外大家覺得讀書去澳洲定英國好？

澳洲

英國, 澳洲人工高好多
利伸：治療師，出年過，打算讀書，因為怕適應問題
你可以邊做野/讀書邊申請visa 189/190, 澳洲你出發前搵到工根本唔會有咩政策改變會影響到你, 加拿大=澳洲》》》英國, Hk nursing係可以tran去uk
考一個試有心一定考到

Uk人工低過香港一截
不過香港人多應該易適應, 係咪去之前要做占了
一手一隻大蜘蛛, 係，香港嚟澳洲嘅護士最適應唔到係工作量點解會少咁多？你香港一對幾多病人？呢到依家1對6都話要加funding減到一對5，新政府亦都話會增加海外醫護嘅簽證",30,感情台
3046062,魔法小神童加旋新篇漫畫第四話，卡旋回歸！！,"加旋型左好多，用完第一咒語都冇失神
暫時得情報圖",None,"
01

02

03, 會唔會再唱チッチッチッチおっぱい ぼいんぼい～ん, 之前吹到死咗 仲以為有排都唔會出翻嚟, 又殺唔少gay佬, 邊度有得睇？
漫畫人好似冇, 比錢睇正版la
又唔貴, 放心唔會，仲要特登整彩圖, 又出返嚟, 第一話陣亡那隻魔物是不是用重力那隻好勁的?, 加璇型撚到, 留名, 請問係咪又要互打爭做魔王？, 頭三話係邊度有, 引用麥塊Notch既一句

要睇翻版就去睇
之後有能力就去睇正版
記住睇翻版果時  要心懷歉意, 有無鐵血費路哥尼, 君にこの声が 届きますように
超好聽, , 真定假架, 生肉邊到有, 


加旋型左好多，用完第一咒語都冇失神
暫時得情報圖, 等返一兩年應該會有翻譯版買, 咁唔識日文係咪玩完, 會唔會只係夢境？",8,動漫台
3046063,有冇expert講解下病毒進化點逃避疫苗？,？,None,"當支針好勁，對應元祖病毒有95%阻止感染。
實驗做完出頭就出EUA 俾人打針
但未睇埋免疫效果減退時間。

跟手班鬼佬打完針就係咁出去party
100個人，有一人帶箘者一齊玩。 就有5個人中招。 即係無滅絕病毒，只係減慢傳播速度。

係呢個時間，病毒會隨機變化，
因為95%嘅人都可以抵禦入侵，所以就會推進病毒去避過呢一95%嘅防禦。

另外有ADE，雖然好多醫生話無，因為唔見打左針多左重症。 但疫苗抗體，配合變種病毒增加感染機率（輕症）無被排除。

 以上係一本科幻小說內容。, ？, 佢會睇新聞知道好多人打咗jump,然後就改變自己結構, mutation in antigen, memory T cell cannot recognize, 病毒本身好容易有異變，數量夠多咩可能性都有
疫苗令身體好高速殺哂原版病毒
少量啱啱好逃過疫苗死剩種留低，其他收皮
咁好自然佢地佔的比率愈來愈多

病毒異變快過細菌，抗藥性，疫苗失效都更快",None,None
3046064,蓋清，父親節快樂。,,None,", 下星期就係鄭錦滿（志）生日

- 分享自 LIHKG 討論區, 點知昂仔屎忽夾太緊 夾到志哥忍唔住偷射精 然後昂比志中出左 仲流到成地汁
最後2條撚樣慾火焚身發情 即刻入左更衣室做愛",6,體育台
3046065,btc 10% 10% 咁衝緊上去，聽日納指升幾多好呢,12000,None,"12000, 落200點先, 聽日都唔開市",15,財經台
3046066,有拖拍係咪都會寂寞？,咁多位拍緊拖嘅巴絲打，你哋會唔會成日有寂寞嘅感覺,None,"咁多位拍緊拖嘅巴絲打，你哋會唔會成日有寂寞嘅感覺, 無自信嘅人先驚寂寞",30,感情台
3046067,正嘢冰室話多左好多人book 位，但宜家R爛自己面係facebook 招生意,"JOHNNY TAM, 快D諗下今晚有冇生意啦",None,"



JOHNNY TAM, 快D諗下今晚有冇生意啦, 有人揸車都要撐所謂既深黃, 物離鄉貴仲要限時出光復價，真係蝕住做
Johnny gor勁好人, Mr. Tam fuck you, 推上熱門, 佢收金錢抹黑我哋黃圈, 16號到依家樓主已經出咗20個post追擊伏野冰室, 琴晚5127like, 宜家1點28分5159like by facebook, johnny tam fuck you, loughborough有撚華人去咩
點坐爆，好似張閪杰咁當人係水魚, 琴晚ig 2021 follower , 宜家1點29分2029follower, 真係好多人感覺多過612, 喺loughborough咁撚遠，有撚人去咩
當正自己係龍門冰室咩, 聽電話都聽唔切, 閪傑可能有份投資或比橋佢, 揸左5粒鐘去。, 食蒸鯧魚飯, 理念 ，小櫻fuck you, 樓主咬住嘅野 係絕對唔會放開。, 喂，你自己fb出左地址都冇深黃黎？, 已經好忙架啦, 劉祖廸 張俊傑, 我搭飛機都要撐",6,體育台
3046068,[Cute爆辮仔] 呢個衰佬留長頭髮又幾好睇。。。,嘰。。。,None,"dnlm, 柒，
美人想收腐皮？, eye bleach, pin返 thx, 人間眼鏡正D定人間香奈兒?, 唔好再post佢啦, 情憑誰來定錯對?, block9u, 美 我對你唔好咩？, 雕你, 呢個閪閪…閪男人
美人最近啲post咩事, 以為美人po佢
, 嗰陣鍾唔鍾意聽佢啲歌都好，感覺嗰樣都無咁面目猙獰，而家個相唔係老咁簡單, 
人間眼鏡


, 
嘰。。。, 。。。。美你都好衰, 衰佬又染黑咗個頭, 食緊飯啊屌你, 好多頭髮.., 好後悔入咗嚟, 美 你又受咗咩刺激, 呢啲先啱㗎嘛, 撚伯扮咁靚又去叫g。。, 又中伏",7,娛樂台
3046069,脾虛應該點醫?,"成日柯爛屎
大便不成型",None,"中醫=scam, 淮山
可買新鮮批皮切細煲粥/飯
健脾, 成日柯爛屎
大便不成型

",36,健康台
