Video_title,Comment_id,Comment_content,Time,Username,Channel_user,Likes,Photo_thumbnails,Hearted_by_video_publisher
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgzhYMnNFfGDB6WRzt94AaABAg,三年前開始睇以為好耐先到我原來聽日就到我放榜😢😢，好緊張好驚😭,4 個月前,@HappyHappylife123,UC1etSwj-eQdYQEhK15AXBUA,146,https://yt3.ggpht.com/bHEkenS6J9kkFdMxrC7o5Wrvlyr9cQQg5lFpRqRuUv3xHasORZNorLF3jFbaBcVQAgERAXMK=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgwfmCxc8KHP08V44HB4AaABAg,"今集每個成員嘅分享都好好:yougotthis:
從唔同嘅角度去俾DSE放榜同學仔意見:virtualhug:

btw想睇Yuina校服😂",4 個月前,@John_Ying,UCcALOQgaKS-Xj6UmQRRUNkQ,5,https://yt3.ggpht.com/ytc/APkrFKYQ-QADrZsGX7we8fApq9Lm4PWFYZcRJkPLrh4o=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgxsptY4OrAT91kaAM14AaABAg,"我依家嘅situation就好兩難 best5得16，34333
我好想讀poly hotel man但唔夠分，MU hotel man就啱啱meet到中位數
我有諗過想試下兩年hkcc再上poly hotel man，但我屋企人對我會勤力讀書呢樣野冇信心，覺得我穩陣去MU 讀個degree就算，之後master再洗底

真心唔識揀😂",4 個月前,@jophyyy-tamm._.6025,UC84qSmc8U3bL_xjHLjcn6yA,8,https://yt3.ggpht.com/ytc/APkrFKYtw4b0wHMp4GV2g42I5l8P_nlBqDS3GWt0Wkpu5A=s176-c-k-c0x00ffffff-no-rj,False
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugy4wOy9mQcX_sUDgcZ4AaABAg,"作為29歲過來人如果無話特別興趣，家底又一般，絕對係簡專科，千奇唔好因為為大學名簡非專科，除非你能力搞唔惦，為興趣其實絕對可以SIT堂/MINOR,甚至DOUBLE MAJOR或者自學(而家呢個年代好多野可以自學E.G唱歌拍片日文)，但係專科畢業出黎係有牌唔會咁容易比人取代到。E.G讀醫療科好似讀nursing，可能一開始好辛苦人地放假你又要實習，但當你到準備畢業果年你會舒服好多。非專科畢業年搵工真係好難，人工又低。除非你諗住考公務員/去外資大公司or繼續讀上去or海上升學，咁就的確簡三大會有優勢d。",4 個月前,@sangson263,UC2rlXqed_tt_gaesmcQ7frQ,52,https://yt3.ggpht.com/ytc/APkrFKYH9WePiLoPai53Lc6OnvaAaXJD9xPxPnspaA=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgyZAH1PZGQ7y_C07ux4AaABAg,謝謝你們年輕人👍🏻,3 個月前,@waiyiwongwong8204,UCGp5-9_ZNyLs2m-eVd15p3w,2,https://yt3.ggpht.com/ytc/APkrFKbEUPprDfU0fQWzwdZwREkx3iBmxCKG9n1yYg=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgxpEA6PEIyR9MWScUt4AaABAg,如果dse中英冇3，想靠asso博上大學都係要retake補返跛咗嗰一科，冇得避,4 個月前,@azel6257,UCjsiTAmN9CJ6ZQa-CaAVhyA,4,https://yt3.ggpht.com/ytc/APkrFKbBZsSbJUET3i4qnJSt-epqVXgb9BK7dG_w6XibSg=s176-c-k-c0x00ffffff-no-rj,False
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugxg-27U3VKpqO9LbeN4AaABAg,"屋企人都係做工程項目，做過三間，其中兩間老細都係請Poly唔要Kong u, 因為kong u 全部得把口做唔到嘢😅",4 個月前,@dorothyc9571,UC3wU0meobOCYg68_xF11xVw,26,https://yt3.ggpht.com/8oqkGqP2Xlfr_pTmXzGP7cd_Gpeb-EFC3gIqQpcfMUtug_o8-SbbIcZy49wwHFGFo89bUAtY6w=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgwVjRGzr8T-iFlzNxR4AaABAg,No retake，下年改左制度，好多大學唔承認通識,4 個月前,@user-tf2pn7ll3s,UC7Mhc7-iWHC2Ui8uz0RcK3A,9,https://yt3.ggpht.com/ytc/APkrFKbVDlMidzQZj_BBy3qLyyR_7iKGGqAMmybqZQ=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgwR5fJ3GaTSfu9JVuZ4AaABAg,如果系中文麻麻地的英籍国际学生，有机会入港大和中大，边一个校园生活会多元化D？ 边一个会系大部分港人的选择？,3 星期前 (已編輯),@SW-fy8pq,UCiTXq6gkV-NLHhCz3inVdlw,0,https://yt3.ggpht.com/ytc/APkrFKYc15Q1dBqZ7jccai1VA3zRYrHgf5yIvfsn6g=s176-c-k-c0x00ffffff-no-rj,False
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgyLbR_5H2L2V68BuM54AaABAg,淨係想講 如果想讀社工又入唔到U一定要揀hd rather than asso🫠,4 個月前,@noname-fl3tx,UCvf35e-E2w8-EHBGU9rcaDQ,2,https://yt3.ggpht.com/ytc/APkrFKax1pL5b5r2jbm3iOBi-1dHnmQZ8D-btO48Yi1oSw=s176-c-k-c0x00ffffff-no-rj,False
